raw_time,MAPE_tuned,MAPE_without_tuned,1%_hit_rate_tuned,1%_hit_rate_without_tuned,5%_hit_rate_tuned,5%_hit_rate_without_tuned,10%_hit_rate_tuned,10%_hit_rate_without_tuned,15%_hit_rate_tuned,15%_hit_rate_without_tuned,20%_hit_rate_tuned,20%_hit_rate_without_tuned
10505,0.003512251785567546,0.00548722791073681,0.944560669456067,0.8556485355648535,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10506,0.0043896296132788625,0.0073153581733498875,0.9156414762741653,0.7398945518453427,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10507,0.0037906476734111327,0.006737063902748801,0.9331983805668016,0.7672064777327935,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10508,0.00413178550052986,0.0070215115930913384,0.9216589861751152,0.7672811059907834,1.0,0.9976958525345622,1.0,1.0,1.0,1.0,1.0,1.0
10509,0.00414774604109919,0.007453174050137142,0.9179487179487179,0.7410256410256411,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10510,0.003979848603553815,0.006671513624314067,0.9311224489795918,0.7704081632653061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10511,0.0043109048615545785,0.007107541986133532,0.9113924050632911,0.7721518987341772,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10512,0.0035881159621340354,0.006203397934176984,0.9453781512605042,0.7983193277310925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10601,0.0038323651231220463,0.00693339183046312,0.9547169811320755,0.7773584905660378,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10602,0.004536234985110764,0.0075883458421159055,0.9129032258064517,0.7645161290322581,1.0,0.9967741935483871,1.0,1.0,1.0,1.0,1.0,1.0
10603,0.004199413054835346,0.0066227651475715575,0.9302325581395349,0.8054968287526427,1.0,0.9978858350951374,1.0,1.0,1.0,1.0,1.0,1.0
10604,0.003967277593704046,0.006805565911288014,0.924892703862661,0.7725321888412017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10605,0.003482989594828932,0.006056075721651578,0.9501187648456056,0.8242280285035629,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10606,0.0035667048963450277,0.006025980647557351,0.9468599033816425,0.8067632850241546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10607,0.0038474620049512155,0.006451661494897222,0.9282407407407407,0.8009259259259259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10608,0.0037806065634030514,0.00645181011181348,0.9370786516853933,0.8157303370786517,1.0,0.9977528089887641,1.0,1.0,1.0,1.0,1.0,1.0
10609,0.0038610285971525404,0.006842334706728972,0.9136904761904762,0.7440476190476191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10610,0.0031289947266689897,0.005073490605297017,0.9604166666666667,0.8708333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10611,0.0036299159844770715,0.006380578631126895,0.9360613810741688,0.7953964194373402,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10612,0.0038936233110398915,0.006378495911437136,0.9205298013245033,0.8167770419426048,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10701,0.003938957849169882,0.00670463692514256,0.9311224489795918,0.7755102040816326,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10702,0.003518264019524806,0.006341008598100864,0.9592760180995475,0.8009049773755657,0.995475113122172,0.995475113122172,1.0,1.0,1.0,1.0,1.0,1.0
10703,0.0035993983495569114,0.00596349828147504,0.937365010799136,0.8034557235421166,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10704,0.0036645926736479793,0.006185584333639678,0.9409780775716695,0.8246205733558178,1.0,0.9983136593591906,1.0,1.0,1.0,1.0,1.0,1.0
10705,0.0038583911445943106,0.00652444028026502,0.9407176287051482,0.7925117004680188,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10706,0.003776185785831058,0.006429404758732749,0.940677966101695,0.7915254237288135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10707,0.0035753466933155843,0.006288335847487425,0.9380692167577414,0.7996357012750456,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10708,0.00358055153962973,0.006349053667397605,0.9520383693045563,0.8033573141486811,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10709,0.0035313123374172313,0.0062852600731427835,0.9473684210526315,0.7789473684210526,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10710,0.004492310026592772,0.007181814764972886,0.9189723320158103,0.782608695652174,0.9960474308300395,0.9960474308300395,1.0,1.0,1.0,1.0,1.0,1.0
10711,0.004229777973136025,0.006851327843788489,0.9370229007633588,0.8187022900763359,0.9961832061068703,0.9923664122137404,1.0,1.0,1.0,1.0,1.0,1.0
10712,0.004173167945475637,0.006810974139447791,0.9329004329004329,0.8008658008658008,0.9935064935064936,0.9913419913419913,1.0,1.0,1.0,1.0,1.0,1.0
10801,0.003666238021603107,0.005840978669738418,0.9461538461538461,0.8153846153846154,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
